Date,Open,High,Low,Close,Adj Close,Volume,Returns,Target
2009-06-15,82.83,83.3,81.0,83.18,83.10333333333334,5401800,-0.010761792253929972,-1
2009-06-16,83.7,83.95,81.28,82.15,83.26666666666667,5465800,-0.012460089831488571,-1
2009-06-17,82.5,84.3,80.64,82.65,83.15,7785100,0.006067979783756047,1
2009-06-18,82.81,82.95,81.0,81.6,82.45333333333333,5453100,-0.01278556229697204,-1
2009-06-19,82.15,83.46,81.5,82.96,82.85666666666667,5438200,0.016529301951210506,1
2009-06-22,82.41,82.43,78.56,79.15,81.33,9744400,-0.04701377759425053,-1
2009-06-23,78.97,79.1,76.25,77.68,78.58333333333333,7415500,-0.018746962343951703,-1
2009-06-24,78.0,80.53,77.8,79.27,79.26666666666667,6081400,0.020261922865994954,1
2009-06-25,79.1,82.23,79.03,82.2,81.17666666666666,7360400,0.03629555521306973,1
2009-06-26,81.9,84.14,81.13,83.88,83.30666666666667,8775300,0.0202319039715849,1
2009-06-29,83.87,84.2,82.41,83.03,83.7,6270300,-0.010185217759779857,-1
2009-06-30,83.62,84.92,82.47,83.66,84.06666666666668,7984800,0.0075589777401131285,1
2009-07-01,84.42,84.5,81.37,81.6,83.50666666666667,6981200,-0.024931704043991074,-1
2009-07-02,81.11,81.37,78.51,79.32,80.60000000000001,7218600,-0.02833895831846611,-1
2009-07-06,78.45,78.89,76.54,78.1,78.48,7368800,-0.015500246805954987,-1
2009-07-07,78.53,78.69,75.41,75.63,77.61666666666666,6491500,-0.03213702697770216,-1
2009-07-08,76.46,77.93,75.7,77.36,77.25,8540700,0.02261682127710088,1
2009-07-09,78.25,78.54,76.82,78.1,78.29666666666667,6359500,0.009520205700601298,1
2009-07-10,77.52,78.82,76.17,77.63,77.99,5976100,-0.006036106428051321,-1
2009-07-13,78.07,81.65,78.01,81.47,80.39666666666666,8050200,0.048280903904961446,1
2009-07-14,81.48,82.42,80.42,81.95,81.95,4543600,0.005874450867288326,1
2009-07-15,83.0,84.64,82.78,84.55,84.06333333333333,6339000,0.03123377015475049,1
2009-07-16,84.42,86.24,83.72,86.11,85.58999999999999,5361900,0.018282473363484604,1
2009-07-17,85.8,86.5,85.2,85.85,86.05,5051600,-0.0030239613645893283,-1
